name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.8561574671470307,112.08,0.1539
2_Xgboost,Xgboost,auc,0.8517699827605786,93.61,0.1658
3_Xgboost,Xgboost,auc,0.86095611689773,94.75,0.1862
4_Xgboost,Xgboost,auc,0.8369483127045245,76.18,0.1749
5_Xgboost,Xgboost,auc,0.8082376906745397,66.81,0.0937
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8582319786107298,356.92,0.1547
1_Default_Xgboost_GoldenFeatures,Xgboost,auc,0.854349977461435,1036.52,0.1755
2_Xgboost_GoldenFeatures,Xgboost,auc,0.8531936630501733,131.21,0.1628
3_Xgboost_RandomFeature,Xgboost,auc,0.858779270025773,102.21,0.0952
3_Xgboost_SelectedFeatures,Xgboost,auc,0.879702835041791,31.03,0.0281
6_Xgboost_SelectedFeatures,Xgboost,auc,0.8793345789761642,35.78,0.0303
7_Xgboost_SelectedFeatures,Xgboost,auc,0.8789197661494841,28.64,0.0304
8_Xgboost,Xgboost,auc,0.8606629435021833,116.62,0.1008
9_Xgboost,Xgboost,auc,0.8587648522261564,404.67,0.0888
10_Xgboost_SelectedFeatures,Xgboost,auc,0.8785974130544745,31.56,0.0275
11_Xgboost_SelectedFeatures,Xgboost,auc,0.8786253884031341,36.6,0.028
Ensemble,Ensemble,auc,0.8842512551055872,1.43,0.5667
