date,binary_target_net_income,proba_class_0,proba_class_1,window,cid,return_1q,year,weight,weighted_return,weight_check,weight_valid
2023-02-23,1,0.3891126,0.6108874,2019-2024,SP-001096,-0.0749519042338206,2023,0.001736111111111111,-0.00013012483373927187,3.3306690738754696e-16,True
2023-05-02,1,0.042456646,0.9575434,2019-2024,SP-001096,-0.0136417526171743,2023,0.001736111111111111,-2.368359829370538e-05,3.3306690738754696e-16,True
2023-08-02,1,0.08383514,0.9161649,2019-2024,SP-001096,-0.0145752810279912,2023,0.001736111111111111,-2.53043073402625e-05,3.3306690738754696e-16,True
2023-11-01,1,0.10227297,0.897727,2019-2024,SP-001096,0.0591366807617744,2023,0.001736111111111111,0.00010266784854474721,3.3306690738754696e-16,True
2023-11-02,1,0.3691542,0.6308458,2019-2024,SP-001263,0.4489935516362953,2023,0.001736111111111111,0.0007795026938130126,3.3306690738754696e-16,True
2023-02-15,1,0.122454666,0.87754536,2019-2024,SP-002055,0.0818116086644813,2023,0.001736111111111111,0.00014203404282028,3.3306690738754696e-16,True
2023-05-03,1,0.13355687,0.86644316,2019-2024,SP-002055,-0.1074434780216523,2023,0.001736111111111111,-0.000186533816009813,3.3306690738754696e-16,True
2023-08-08,1,0.20598145,0.79401857,2019-2024,SP-002055,-0.1231371767019953,2023,0.001736111111111111,-0.00021377982066318627,3.3306690738754696e-16,True
2023-11-02,1,0.04631545,0.9536845,2019-2024,SP-002055,0.2439810128492255,2023,0.001736111111111111,0.0004235781473076831,3.3306690738754696e-16,True
2023-05-04,0,0.27317396,0.7268261,2019-2024,SP-002137,0.0017459993216564,2023,0.001736111111111111,3.0312488223201384e-06,3.3306690738754696e-16,True
2023-08-03,0,0.23797885,0.7620212,2019-2024,SP-002137,-0.1535917042948474,2023,0.001736111111111111,-0.0002666522644007767,3.3306690738754696e-16,True
2023-08-04,0,0.098979875,0.90102017,2019-2024,SP-002408,-0.1513870885251176,2023,0.001736111111111111,-0.00026282480646721803,3.3306690738754696e-16,True
2023-11-03,1,0.02730226,0.97269773,2019-2024,SP-002408,0.0889658449092126,2023,0.001736111111111111,0.00015445459185627186,3.3306690738754696e-16,True
2023-02-14,1,0.20760722,0.79239273,2019-2024,SP-002526,0.1541300458947592,2023,0.001736111111111111,0.00026758688523395693,3.3306690738754696e-16,True
2023-05-31,0,0.16162324,0.8383767,2019-2024,SP-002526,-0.0278878624120967,2023,0.001736111111111111,-4.841642779877899e-05,3.3306690738754696e-16,True
2023-03-09,1,0.0045969486,0.9954031,2019-2024,SP-002675,0.0776424536786694,2023,0.001736111111111111,0.0001347959265254677,3.3306690738754696e-16,True
2023-05-11,1,0.004933119,0.99506694,2019-2024,SP-002675,0.01402206190562,2023,0.001736111111111111,2.434385747503472e-05,3.3306690738754696e-16,True
2023-08-03,1,0.0057842312,0.9942158,2019-2024,SP-002675,-0.0217590732055671,2023,0.001736111111111111,-3.77761687596651e-05,3.3306690738754696e-16,True
2023-11-02,1,0.07750223,0.92249775,2019-2024,SP-002675,-0.0074832159189097,2023,0.001736111111111111,-1.2991694303662672e-05,3.3306690738754696e-16,True
2023-11-09,1,0.061410345,0.9385897,2019-2024,SP-002703,0.0044984274383055,2023,0.001736111111111111,7.80976985816927e-06,3.3306690738754696e-16,True
2023-05-08,0,0.3813694,0.6186306,2019-2024,SP-003516,-0.0273040563578881,2023,0.001736111111111111,-4.740287562133351e-05,3.3306690738754696e-16,True
2023-08-23,1,0.26130825,0.7386917,2019-2024,SP-003516,-0.0403841059536555,2023,0.001736111111111111,-7.011129505842968e-05,3.3306690738754696e-16,True
2023-11-08,1,0.06434864,0.9356514,2019-2024,SP-003516,-0.0943019926003719,2023,0.001736111111111111,-0.00016371873715342343,3.3306690738754696e-16,True
2023-05-03,0,0.09245858,0.9075414,2019-2024,SP-004019,-0.0337040195461397,2023,0.001736111111111111,-5.85139228231592e-05,3.3306690738754696e-16,True
2023-08-03,0,0.055106558,0.9448935,2019-2024,SP-004019,-0.2053098808472256,2023,0.001736111111111111,-0.00035644076535976663,3.3306690738754696e-16,True
2023-05-08,0,0.2099803,0.7900197,2019-2024,SP-004669,0.2423134947942761,2023,0.001736111111111111,0.0004206831506845071,3.3306690738754696e-16,True
2023-08-08,0,0.29926834,0.70073164,2019-2024,SP-004669,-0.0131778904232962,2023,0.001736111111111111,-2.2878281984889235e-05,3.3306690738754696e-16,True
2023-03-09,1,0.011720526,0.9882795,2019-2024,SP-004763,-0.1884625046313113,2023,0.001736111111111111,-0.00032719184831824877,3.3306690738754696e-16,True
2023-05-04,1,0.014075374,0.9859246,2019-2024,SP-004763,0.1132736291131943,2023,0.001736111111111111,0.00019665560609929565,3.3306690738754696e-16,True
2023-08-08,1,0.020303577,0.97969645,2019-2024,SP-004763,-0.0778194874002562,2023,0.001736111111111111,-0.0001351032767365559,3.3306690738754696e-16,True
2023-11-07,1,0.03368952,0.9663105,2019-2024,SP-004763,-0.0065880874636057,2023,0.001736111111111111,-1.1437651846537673e-05,3.3306690738754696e-16,True
2023-05-05,1,0.025208449,0.9747915,2019-2024,SP-006135,-0.0278575859022002,2023,0.001736111111111111,-4.836386441354201e-05,3.3306690738754696e-16,True
2023-08-04,1,0.25386256,0.74613744,2019-2024,SP-006135,-0.0936064887344265,2023,0.001736111111111111,-0.00016251126516393487,3.3306690738754696e-16,True
2023-11-03,1,0.15829916,0.84170085,2019-2024,SP-006135,0.0775439973120202,2023,0.001736111111111111,0.0001346249953333684,3.3306690738754696e-16,True
