date,binary_target_net_income,prob_down,prob_up,net_prob_score,window,cid,return_1q,year,decile_bin,decile_id
2023-03-08,0,0.9828625,0.017137429,-0.96572506,2019-2024,SP-030075,-0.2837892323183559,2023,0,0
2023-08-02,0,0.9963379,0.0036621608,-0.9926757,2019-2024,SP-030075,0.1884075610215258,2023,0,0
2023-10-19,0,0.9734224,0.026577597,-0.9468448,2019-2024,SP-030927,0.0716358223334166,2023,0,0
2023-05-10,0,0.98668444,0.013315564,-0.9733689,2019-2024,SP-031178,-0.0126410329118435,2023,0,0
2023-02-22,0,0.9695698,0.030430276,-0.93913954,2019-2024,SP-032670,0.1479769388437579,2023,0,0
2023-03-08,0,0.98098814,0.01901188,-0.9619763,2019-2024,SP-034619,-0.0881528661272277,2023,0,0
2023-05-10,0,0.99608535,0.0039146123,-0.99217075,2019-2024,SP-034619,-0.1700207739315951,2023,0,0
2023-08-09,0,0.985302,0.014698034,-0.97060394,2019-2024,SP-034619,-0.004998051505283,2023,0,0
2023-03-10,0,0.97310466,0.026895309,-0.9462094,2019-2024,SP-038773,-0.1808288102481457,2023,0,0
2023-11-09,0,0.9861725,0.013827478,-0.972345,2019-2024,SP-040290,0.0082505560359941,2023,0,0
2023-05-02,0,0.9935874,0.0064125494,-0.9871748,2019-2024,SP-040590,0.0544369733153247,2023,0,0
2023-08-02,0,0.9953672,0.0046328036,-0.9907344,2019-2024,SP-040590,0.0542732708389095,2023,0,0
2023-11-08,0,0.9941376,0.0058623715,-0.98827523,2019-2024,SP-040590,-0.11602711073203,2023,0,0
2023-11-09,0,0.9914816,0.008518394,-0.9829632,2019-2024,SP-064107,-0.1128864990874418,2023,0,0
2023-02-23,0,0.9913249,0.008675143,-0.98264974,2019-2024,SP-064625,-0.1018458331011174,2023,0,0
2023-05-09,0,0.99677837,0.0032216385,-0.99355674,2019-2024,SP-064625,-0.1739992180647692,2023,0,0
2023-03-02,0,0.9689205,0.031079415,-0.9378411,2019-2024,SP-066318,-0.2390648857520247,2023,0,0
2023-05-04,0,0.9884323,0.011567758,-0.9768645,2019-2024,SP-066318,-0.0243024687159052,2023,0,0
2023-08-10,0,0.9968815,0.003118535,-0.99376297,2019-2024,SP-066318,0.1908157054005386,2023,0,0
2023-11-02,0,0.9968565,0.0031434603,-0.993713,2019-2024,SP-066318,0.1704875492995586,2023,0,0
2023-11-15,1,0.9663995,0.03360053,-0.932799,2019-2024,SP-066401,0.1101080526959015,2023,0,0
2023-03-01,0,0.9662385,0.03376157,-0.93247694,2019-2024,SP-105222,-0.01980386774527,2023,0,0
2023-05-04,0,0.9981599,0.0018401295,-0.9963198,2019-2024,SP-105239,0.1954882505882066,2023,0,0
2023-08-02,0,0.99842757,0.0015724025,-0.99685514,2019-2024,SP-105239,0.208473209639623,2023,0,0
2023-11-02,0,0.9908563,0.0091437455,-0.9817125,2019-2024,SP-105239,-0.0735056477769144,2023,0,0
2023-03-09,0,0.9930008,0.006999187,-0.9860016,2019-2024,SP-106062,0.1073206773348346,2023,0,0
2023-05-11,0,0.9953,0.004700012,-0.9906,2019-2024,SP-106062,0.0166716002879478,2023,0,0
2023-08-03,1,0.99278164,0.007218355,-0.9855633,2019-2024,SP-106062,0.1359394056124953,2023,0,0
2023-11-09,1,0.9660166,0.0339834,-0.9320332,2019-2024,SP-106062,-0.1276335673525945,2023,0,0
2023-08-10,0,0.97448957,0.02551039,-0.9489792,2019-2024,SP-106156,0.2183859001772773,2023,0,0
2023-03-01,0,0.99195254,0.008047521,-0.983905,2019-2024,SP-106528,-0.0791521327303316,2023,0,0
2023-05-10,0,0.996971,0.0030289877,-0.993942,2019-2024,SP-106528,-0.0540762347436158,2023,0,0
2023-03-27,0,0.9721562,0.027843717,-0.9443125,2019-2024,SP-107559,0.1300253072895723,2023,0,0
2023-08-10,0,0.9825896,0.017410304,-0.9651793,2019-2024,SP-107559,-0.0043664913653282,2023,0,0
2023-11-09,0,0.97306985,0.026930135,-0.9461397,2019-2024,SP-107559,-0.3225167732299024,2023,0,0
2023-02-22,0,0.9743093,0.025690626,-0.9486187,2019-2024,SP-108297,0.0604864687042955,2023,0,0
2023-08-08,1,0.9765668,0.023433182,-0.9531336,2019-2024,SP-108349,0.2942494916842815,2023,0,0
2023-08-09,1,0.97825015,0.02174982,-0.95650035,2019-2024,SP-108349,0.2942494916842815,2023,0,0
2023-11-07,0,0.9877558,0.012244231,-0.97551155,2019-2024,SP-108349,0.0442993085254835,2023,0,0
2023-11-08,0,0.992091,0.007908916,-0.98418206,2019-2024,SP-108349,0.0442993085254835,2023,0,0
2023-11-09,1,0.9735611,0.026438918,-0.9471222,2019-2024,SP-108648,0.0649802119475342,2023,0,0
2023-07-28,0,0.9726322,0.02736782,-0.9452644,2019-2024,SP-122194,0.1004775872568956,2023,0,0
2023-11-03,0,0.98028135,0.019718662,-0.9605627,2019-2024,SP-122194,0.0677483994419796,2023,0,0
2023-07-26,0,0.96533096,0.03466904,-0.9306619,2019-2024,SP-123455,-0.026536189495687,2023,0,0
2023-02-23,0,0.9854826,0.014517343,-0.9709652,2019-2024,SP-130618,-0.0517260132807577,2023,0,0
2023-05-04,0,0.9922085,0.0077914884,-0.984417,2019-2024,SP-130618,-0.0334627312871223,2023,0,0
2023-08-03,0,0.99170333,0.008296677,-0.98340666,2019-2024,SP-130618,-0.0273914690296994,2023,0,0
2023-05-12,0,0.9657947,0.034205314,-0.93158937,2019-2024,SP-137090,,2023,0,0
2023-03-15,0,0.99414855,0.0058514476,-0.9882971,2019-2024,SP-142443,-0.1931952713999241,2023,0,0
2023-05-10,0,0.9829281,0.017071946,-0.96585613,2019-2024,SP-142443,0.0566908210851541,2023,0,0
2023-05-10,0,0.9687878,0.031212244,-0.9375755,2019-2024,SP-144475,0.078915917019072,2023,0,0
2023-08-14,0,0.98386,0.01613998,-0.96772003,2019-2024,SP-144475,-0.0337553953483513,2023,0,0
2023-11-14,0,0.9900116,0.00998831,-0.98002326,2019-2024,SP-144475,0.0663981309016741,2023,0,0
2023-03-02,0,0.9755041,0.024495855,-0.95100826,2019-2024,SP-145812,-0.0081898009044838,2023,0,0
2023-05-09,0,0.9943696,0.0056303404,-0.9887393,2019-2024,SP-154774,-0.0163559810250825,2023,0,0
2023-08-09,0,0.99437654,0.005623476,-0.9887531,2019-2024,SP-154774,0.2339450380956797,2023,0,0
2023-11-08,0,0.9786911,0.021308938,-0.95738214,2019-2024,SP-154774,-0.1349221525349804,2023,0,0
2023-03-08,0,0.9792945,0.020705532,-0.95858896,2019-2024,SP-156093,-0.1664760936188937,2023,0,0
2023-05-08,0,0.992816,0.0071840943,-0.9856319,2019-2024,SP-156093,0.1935800974524806,2023,0,0
2023-08-09,0,0.99131584,0.008684165,-0.9826317,2019-2024,SP-156093,0.0748277695711633,2023,0,0
2023-03-07,0,0.9949703,0.005029687,-0.98994064,2019-2024,SP-163712,-0.2377251846039365,2023,0,0
2023-05-02,0,0.9975462,0.002453826,-0.9950924,2019-2024,SP-163712,0.1341206141794801,2023,0,0
2023-05-02,0,0.98129416,0.01870585,-0.9625883,2019-2024,SP-164046,-0.4428891865873097,2023,0,0
2023-08-01,1,0.9712909,0.02870909,-0.9425818,2019-2024,SP-164046,0.4399931897128855,2023,0,0
2023-03-06,0,0.97387886,0.026121091,-0.9477578,2019-2024,SP-164094,-0.083283697908015,2023,0,0
2023-05-01,0,0.9964422,0.003557771,-0.99288446,2019-2024,SP-164094,-0.101446991720815,2023,0,0
2023-08-14,0,0.9906033,0.00939664,-0.9812067,2019-2024,SP-164094,-0.0586243548289951,2023,0,0
2023-03-16,0,0.99818355,0.0018164318,-0.9963671,2019-2024,SP-164169,-0.0253281692208163,2023,0,0
