date,binary_target_net_income,proba_class_0,proba_class_1,window,cid,return_1q,year,weight,weighted_return,weight_check,weight_valid
2024-01-15,0,0.1101557,0.8898443,2019-2024,SP-001096,0.1156495417074657,2024,0.0022675736961451248,0.00026224385874708777,2.220446049250313e-16,True
2024-02-06,0,0.18190123,0.8180987,2019-2024,SP-001263,-0.1692366753969538,2024,0.0022675736961451248,-0.00038375663355318324,2.220446049250313e-16,True
2024-02-09,0,0.08097111,0.9190289,2019-2024,SP-002408,-0.1104189206547999,2024,0.0022675736961451248,-0.0002503830400335599,2.220446049250313e-16,True
2024-02-07,0,0.19455832,0.80544174,2019-2024,SP-003516,0.0249306343367892,2024,0.0022675736961451248,5.653205065031565e-05,2.220446049250313e-16,True
2024-02-01,0,0.30030566,0.69969434,2019-2024,SP-009215,-0.0863090466098101,2024,0.0022675736961451248,-0.00019571212383176896,2.220446049250313e-16,True
2024-01-15,0,0.31276995,0.68723005,2019-2024,SP-014352,0.2680916995427032,2024,0.0022675736961451248,0.0006079176860378757,2.220446049250313e-16,True
2024-02-05,0,0.19749525,0.8025047,2019-2024,SP-014517,0.1121244056422137,2024,0.0022675736961451248,0.00025425035293018977,2.220446049250313e-16,True
2024-02-08,0,0.003939557,0.9960605,2019-2024,SP-015038,-0.113859482090956,2024,0.0022675736961451248,-0.0002581847666461587,2.220446049250313e-16,True
2024-02-07,0,0.12860617,0.8713938,2019-2024,SP-015050,0.1294508652375726,2024,0.0022675736961451248,0.0002935393769559469,2.220446049250313e-16,True
2024-01-10,0,0.09555123,0.9044488,2019-2024,SP-020315,0.2524200488401521,2024,0.0022675736961451248,0.0005723810631295967,2.220446049250313e-16,True
2024-01-31,0,0.09613716,0.90386283,2019-2024,SP-020392,-0.0798192084160038,2024,0.0022675736961451248,-0.0001809959374512558,2.220446049250313e-16,True
2024-01-09,0,0.007954883,0.9920451,2019-2024,SP-022387,-0.0339054797423069,2024,0.0022675736961451248,-7.68831740188365e-05,2.220446049250313e-16,True
2024-02-06,0,0.01698352,0.9830165,2019-2024,SP-022970,0.0021651007938444,2024,0.0022675736961451248,4.90952560962449e-06,2.220446049250313e-16,True
2024-02-08,0,0.38648042,0.61351955,2019-2024,SP-028485,-0.0428836342714928,2024,0.0022675736961451248,-9.724180106914467e-05,2.220446049250313e-16,True
2024-02-01,0,0.13999459,0.8600054,2019-2024,SP-030560,-0.0486558876199437,2024,0.0022675736961451248,-0.00011033081092957755,2.220446049250313e-16,True
2024-02-01,0,0.26920775,0.7307922,2019-2024,SP-031266,-0.0650849445114213,2024,0.0022675736961451248,-0.00014758490818916396,2.220446049250313e-16,True
2024-02-08,0,0.15298581,0.84701425,2019-2024,SP-031421,0.2122307673597229,2024,0.0022675736961451248,0.00048124890557760296,2.220446049250313e-16,True
2024-02-01,0,0.23378667,0.7662133,2019-2024,SP-061870,-0.0862902332035217,2024,0.0022675736961451248,-0.00019566946304653445,2.220446049250313e-16,True
2024-01-24,0,0.31257284,0.68742716,2019-2024,SP-061955,0.1243653617916498,2024,0.0022675736961451248,0.000282007623110317,2.220446049250313e-16,True
2024-02-08,0,0.111179374,0.88882065,2019-2024,SP-064624,0.3237005890263442,2024,0.0022675736961451248,0.0007340149411028213,2.220446049250313e-16,True
2024-02-08,0,0.2991902,0.70080984,2019-2024,SP-065613,-0.0299323402614477,2024,0.0022675736961451248,-6.787378744092448e-05,2.220446049250313e-16,True
2024-01-12,0,0.06812804,0.9318719,2019-2024,SP-111003,-0.0042280663749136,2024,0.0022675736961451248,-9.587452097309752e-06,2.220446049250313e-16,True
2024-02-07,0,0.12323822,0.8767618,2019-2024,SP-133289,0.052141618708639,2024,0.0022675736961451248,0.00011823496305813833,2.220446049250313e-16,True
2024-01-31,0,0.023680031,0.9763199,2019-2024,SP-152828,-0.1543182715537393,2024,0.0022675736961451248,-0.0003499280534098397,2.220446049250313e-16,True
2024-02-07,0,0.04486552,0.9551345,2019-2024,SP-160778,0.1108082466855913,2024,0.0022675736961451248,0.00025126586550020707,2.220446049250313e-16,True
2024-02-22,0,0.2996963,0.70030373,2020-2025,SP-001096,0.1156495417074657,2024,0.0022675736961451248,0.00026224385874708777,2.220446049250313e-16,True
2024-04-25,0,0.055476975,0.94452304,2020-2025,SP-001186,0.1496419367670765,2024,0.0022675736961451248,0.0003393241196532347,2.220446049250313e-16,True
2024-07-31,0,0.0087304395,0.9912695,2020-2025,SP-001186,0.2346822298362479,2024,0.0022675736961451248,0.0005321592513293604,2.220446049250313e-16,True
2024-03-08,0,0.08605235,0.9139477,2020-2025,SP-002137,-0.1282023970165868,2024,0.0022675736961451248,-0.00029070838325756645,2.220446049250313e-16,True
2024-05-02,0,0.04108737,0.9589127,2020-2025,SP-002137,-0.0531995564795085,2024,0.0022675736961451248,-0.0001206339149195204,2.220446049250313e-16,True
2024-08-01,0,0.093118906,0.90688115,2020-2025,SP-002137,0.0874442062714517,2024,0.0022675736961451248,0.00019828618202143245,2.220446049250313e-16,True
2024-05-09,0,0.023130171,0.97686976,2020-2025,SP-002408,-0.0445151092529916,2024,0.0022675736961451248,-0.0001009412908231102,2.220446049250313e-16,True
2024-08-02,0,0.0282065,0.9717935,2020-2025,SP-002408,0.1062229170474597,2024,0.0022675736961451248,0.00024086829262462517,2.220446049250313e-16,True
2024-05-27,0,0.03557246,0.96442753,2020-2025,SP-002526,-0.0720639510522879,2024,0.0022675736961451248,-0.00016341031984645781,2.220446049250313e-16,True
2024-08-13,0,0.00843784,0.9915621,2020-2025,SP-002526,-0.0233666699559932,2024,0.0022675736961451248,-5.2985646158714746e-05,2.220446049250313e-16,True
2024-02-22,0,0.01948676,0.9805133,2020-2025,SP-002675,-0.1080750641191634,2024,0.0022675736961451248,-0.0002450681726058127,2.220446049250313e-16,True
2024-05-02,0,0.037172157,0.9628278,2020-2025,SP-002675,-0.0099192436188573,2024,0.0022675736961451248,-2.249261591577619e-05,2.220446049250313e-16,True
2024-08-08,0,0.12542792,0.8745721,2020-2025,SP-002675,-0.0215692883544331,2024,0.0022675736961451248,-4.890995091708186e-05,2.220446049250313e-16,True
2024-04-24,0,0.30145028,0.6985497,2020-2025,SP-002698,-0.1059981480908879,2024,0.0022675736961451248,-0.00024035861245099297,2.220446049250313e-16,True
2024-02-15,0,0.19448522,0.8055147,2020-2025,SP-002703,-0.1398263650563657,2024,0.0022675736961451248,-0.00031706658742940066,2.220446049250313e-16,True
2024-05-09,0,0.066474594,0.93352544,2020-2025,SP-002703,-0.1137749398250975,2024,0.0022675736961451248,-0.00025799306082788546,2.220446049250313e-16,True
2024-08-08,0,0.09543339,0.90456665,2020-2025,SP-002703,0.0786040645574647,2024,0.0022675736961451248,0.00017824050920060022,2.220446049250313e-16,True
2024-08-21,0,0.12239917,0.8776008,2020-2025,SP-003516,0.034980729185827,2024,0.0022675736961451248,7.932138137375737e-05,2.220446049250313e-16,True
2024-05-06,0,0.29233187,0.7076681,2020-2025,SP-004669,-0.0122042353844574,2024,0.0022675736961451248,-2.7674003139359184e-05,2.220446049250313e-16,True
2024-08-06,0,0.25634977,0.74365014,2020-2025,SP-004669,0.1156628366768376,2024,0.0022675736961451248,0.0002622740060699266,2.220446049250313e-16,True
2024-03-11,0,0.07341674,0.9265833,2020-2025,SP-004763,0.0304911837038399,2024,0.0022675736961451248,6.914100613115625e-05,2.220446049250313e-16,True
2024-05-02,0,0.3957637,0.60423636,2020-2025,SP-004763,0.0183311997625029,2024,0.0022675736961451248,4.156734640023334e-05,2.220446049250313e-16,True
2024-08-06,0,0.030969778,0.9690302,2020-2025,SP-004763,0.148606736128274,2024,0.0022675736961451248,0.0003369767259144535,2.220446049250313e-16,True
2024-02-21,0,0.13022955,0.8697704,2020-2025,SP-006672,0.2016183219443638,2024,0.0022675736961451248,0.00045718440350195875,2.220446049250313e-16,True
2024-05-08,0,0.2275196,0.77248037,2020-2025,SP-006672,-0.0164177560141107,2024,0.0022675736961451248,-3.722847168732585e-05,2.220446049250313e-16,True
2024-05-01,0,0.15798481,0.8420152,2020-2025,SP-006771,0.0320442600195884,2024,0.0022675736961451248,7.266272113285351e-05,2.220446049250313e-16,True
2024-07-25,0,0.34008017,0.6599199,2020-2025,SP-006771,0.1273265864712957,2024,0.0022675736961451248,0.0002887224183022578,2.220446049250313e-16,True
2024-02-21,0,0.12804092,0.87195903,2020-2025,SP-007770,0.1627717706888448,2024,0.0022675736961451248,0.00036909698568899046,2.220446049250313e-16,True
2024-05-14,0,0.18787238,0.81212765,2020-2025,SP-007770,-0.0010284744806279,2024,0.0022675736961451248,-2.3321416794283447e-06,2.220446049250313e-16,True
2024-08-07,0,0.31942466,0.6805753,2020-2025,SP-007770,-0.0593004569200117,2024,0.0022675736961451248,-0.00013446815628120567,2.220446049250313e-16,True
2024-03-05,0,0.12501515,0.87498486,2020-2025,SP-009215,-0.0863090466098101,2024,0.0022675736961451248,-0.00019571212383176896,2.220446049250313e-16,True
2024-04-24,0,0.07849358,0.92150646,2020-2025,SP-009215,-0.0517140011111609,2024,0.0022675736961451248,-0.00011726530864208822,2.220446049250313e-16,True
2024-07-24,0,0.09766902,0.90233105,2020-2025,SP-009215,0.0536846512342877,2024,0.0022675736961451248,0.0001217339030255957,2.220446049250313e-16,True
2024-04-24,0,0.32119906,0.6788009,2020-2025,SP-010385,0.098147786308348,2024,0.0022675736961451248,0.00022255733856768256,2.220446049250313e-16,True
2024-04-25,0,0.10265776,0.89734226,2020-2025,SP-010385,0.098147786308348,2024,0.0022675736961451248,0.00022255733856768256,2.220446049250313e-16,True
2024-02-28,0,0.30989534,0.69010466,2020-2025,SP-011443,0.0933112003329185,2024,0.0022675736961451248,0.0002115900234306542,2.220446049250313e-16,True
2024-05-07,0,0.1460297,0.85397035,2020-2025,SP-011443,0.0306362349597964,2024,0.0022675736961451248,6.946992054375602e-05,2.220446049250313e-16,True
2024-07-30,0,0.11632349,0.88367647,2020-2025,SP-011443,0.1769673334887171,2024,0.0022675736961451248,0.00040128647049595713,2.220446049250313e-16,True
2024-08-08,0,0.3724087,0.6275913,2020-2025,SP-013252,-0.015363821480362,2024,0.0022675736961451248,-3.4838597461138324e-05,2.220446049250313e-16,True
2024-03-08,0,0.29791975,0.7020803,2020-2025,SP-013971,-0.0645103729653913,2024,0.0022675736961451248,-0.0001462820248648329,2.220446049250313e-16,True
2024-04-24,0,0.0701067,0.92989326,2020-2025,SP-013971,0.0713398285381326,2024,0.0022675736961451248,0.0001617683186805728,2.220446049250313e-16,True
2024-07-30,0,0.07431033,0.92568964,2020-2025,SP-013971,-0.13583798046221,2024,0.0022675736961451248,-0.00030802263143358275,2.220446049250313e-16,True
2024-03-06,0,0.02899929,0.97100073,2020-2025,SP-014042,-0.0462953427718096,2024,0.0022675736961451248,-0.00010497810152337778,2.220446049250313e-16,True
2024-05-01,0,0.014676618,0.9853235,2020-2025,SP-014042,-0.1621487806073045,2024,0.0022675736961451248,-0.0003676843097671304,2.220446049250313e-16,True
2024-07-25,0,0.08662095,0.913379,2020-2025,SP-014042,0.1208267360447119,2024,0.0022675736961451248,0.00027398352844605877,2.220446049250313e-16,True
