year,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,portfolio_return
2005,11.323381999054149,12.795671694550009,9.385664763606488,10.279795746430889,8.249730233418767,9.821087240366603,12.206950495253993,6.4988883648849205,10.884432392833832,6.636067722266834,-1.8895438071004889
2006,3.4465300512895545,6.007243548875096,6.296100441376461,3.610875993137473,3.1873026437579006,2.7046499151987957,3.797558385418023,4.720456272044811,5.30047058963037,3.3707314083859594,-0.5428833447998554
2007,12.232343199850577,7.9556340978500995,6.411043184818268,6.482127273696314,8.356651736608379,8.566385131784635,3.1036333341607447,7.010022192762437,6.256699791314476,6.141823059330129,-2.6422423446618684
2008,-25.00981591426217,-21.572715011827082,-13.032412150864344,-16.642532403759976,-12.23213980033945,-14.730729201033935,-5.624055703419155,-7.9868455640774645,-10.737166973131796,-7.887927293793043,11.00536998657303
2009,10.528918811578531,15.558400230590868,15.060952150843049,13.081065312499602,18.98226377398063,19.442697898059926,19.51904581413618,19.082623614937546,53.791485316759655,27.048754461551177,16.303143175468126
2010,11.743145470401293,12.196205932907336,13.921273841295179,11.579052270208685,14.192444757428172,8.348145396968336,6.632258435735381,9.162854231878697,9.191092902021026,5.322834237889981,-4.7826594268218505
2011,30.689427236814172,-4.494564988305876,-1.0020539812007128,-0.997717584817373,1.5219094557744042,-2.810061478433436,1.651872645943496,-1.0821541529103045,-3.0422555214074865,-5.964949234967907,-8.158144236458103
2012,-0.430653854492607,1.663576012564994,0.3706868580515491,4.9155885457294115,4.0787384800352395,4.949598133759487,2.1679343321276088,4.764432826299668,3.523153448981605,3.217851800114898,1.788543711417608
2013,38.0986428275957,3.185946785856645,4.001609260733976,5.330278854876921,2.682400671503989,2.405564801908182,1.4221602071383581,3.6226041038395698,1.06262774342534,-1.9725781375782399,-11.620415953059553
2014,-3.2857953492774143,-3.5212427163446107,-1.6409942968897504,0.08371155667829606,-1.615094961525087,1.1027797493015528,-0.6884579366812948,-2.6561600839838295,0.48150757445274045,3.2550479075793017,2.1890645668000994
2015,-6.139083680124456,-4.259478500106225,-7.366751502971736,-5.598415398938159,-4.046829431782582,-5.817779445223083,-8.174286798364836,-7.391785292945754,-9.64824537514337,-12.381438740497261,-3.5580067812026615
2016,6.506784570842254,7.689450633144945,8.146223959342517,5.080580773609086,6.331835079873308,8.65177744491468,8.67592113297608,6.305958703545382,8.226363083735858,17.035603625090886,3.205201652102351
2017,23.599513657049307,4.686967128425314,4.8450727443630655,4.960272664410508,1.7708861333967374,2.8939444212563346,2.7668992332172375,1.4851690123405656,2.1091052974265665,9.945938819163596,-5.446178458025059
2018,-3.842800294568729,-3.7377227082300615,-6.010354649509109,-6.430902869478398,-2.109243166012413,-7.044891319658402,-7.411767749227424,-6.438739371011024,-6.400736469688508,-7.3966551749967095,-1.9065295607843418
2019,5.97842867424494,4.084316590844622,6.359215504392241,5.323167468736872,2.423969308716562,6.636282925401665,9.654635598539436,6.6955171931134565,2.116429153440985,3.626565929086314,0.08700490899037872
2020,10.77684336353583,9.829135586389244,4.566107985693735,3.5333338413549513,5.703443170477875,9.889110400549264,9.217822534229398,16.193637364103118,15.23754138657518,12.84392059786449,6.196875276449607
2021,3.056630391543774,5.6461616959252865,2.279026456839003,3.834072436896726,3.6865995056264844,7.191869395235353,8.097785842203203,6.72460429149789,18.580851329228867,12.649927352090245,7.809319458453855
2022,1.015888706397886,1.3262835332558514,-0.16768140197357054,-0.8611762297658849,-3.5415919608145843,-4.7171705891439135,-3.286388473786,-5.860649739964594,-0.007300848337251778,-1.5983068613444198,-3.016490132836637
2023,-0.24648133458718358,1.651069442495929,1.9570248874282337,4.592373137273246,4.422422378785467,0.7761545066159837,3.7797144815168062,4.040527481810528,2.1438601154104617,0.27242558474020595,0.5706353827169441
2024,6.425370292090671,3.9014811387496677,6.439524539919203,1.5792310934655849,2.878715661673912,2.8869967544717574,3.276505556477174,2.5193551854560456,2.1153581806265325,-4.707023850676427,-3.7853529980854503
