date,binary_target_cash_operations,proba_class_0,proba_class_1,margin_proba,window,cid
2023-05-04,0,0.20534766,0.79465234,0.5893047,2019-2024,SP-004763
2023-08-08,1,0.08800191,0.9119981,0.8239962,2019-2024,SP-004763
2023-11-07,1,0.0798766,0.9201234,0.8402468,2019-2024,SP-004763
2023-05-05,1,0.9583543,0.041645695,-0.9167086,2019-2024,SP-006135
2023-08-04,0,0.95570153,0.044298492,-0.91140306,2019-2024,SP-006135
2023-11-03,0,0.9475014,0.05249859,-0.89500284,2019-2024,SP-006135
2024-02-09,0,0.9691867,0.030813282,-0.93837345,2019-2024,SP-006135
2023-02-22,1,0.00857985,0.99142015,0.9828403,2019-2024,SP-006672
2023-05-11,1,0.05622548,0.9437745,0.88754904,2019-2024,SP-006672
2023-08-09,1,0.24766272,0.7523373,0.50467455,2019-2024,SP-006672
2023-11-08,1,0.5809389,0.41906112,-0.16187775,2019-2024,SP-006672
2023-02-23,1,0.9519705,0.048029475,-0.90394104,2019-2024,SP-006771
2023-05-03,1,0.7285963,0.2714037,-0.45719263,2019-2024,SP-006771
2023-07-26,1,0.6977234,0.3022766,-0.39544678,2019-2024,SP-006771
2023-11-15,0,0.9570827,0.042917315,-0.9141654,2019-2024,SP-006771
2023-02-27,1,0.8866792,0.11332085,-0.77335835,2019-2024,SP-006946
2023-05-05,1,0.6423518,0.3576482,-0.2847036,2019-2024,SP-006946
2023-08-04,1,0.43831217,0.5616878,0.123375654,2019-2024,SP-006946
2023-11-03,1,0.4462393,0.5537607,0.107521415,2019-2024,SP-006946
2024-02-09,0,0.5611823,0.43881768,-0.12236464,2019-2024,SP-006946
2023-02-22,1,0.053287327,0.9467127,0.89342535,2019-2024,SP-007770
2023-05-16,1,0.03878534,0.96121466,0.9224293,2019-2024,SP-007770
2023-08-09,1,0.012930095,0.9870699,0.9741398,2019-2024,SP-007770
2023-11-09,1,0.08016288,0.9198371,0.83967423,2019-2024,SP-007770
2023-02-15,1,0.33729523,0.66270477,0.32540953,2019-2024,SP-008644
2023-05-09,1,0.55326587,0.44673413,-0.10653174,2019-2024,SP-008644
2023-08-02,1,0.8589172,0.14108281,-0.71783435,2019-2024,SP-008644
2023-11-08,1,0.9540117,0.04598833,-0.90802336,2019-2024,SP-008644
2023-03-16,0,0.4528017,0.5471983,0.09439659,2019-2024,SP-008702
2023-05-15,1,0.0828644,0.9171356,0.8342712,2019-2024,SP-008702
2023-08-10,1,0.04766977,0.95233023,0.90466046,2019-2024,SP-008702
2023-11-13,1,0.0069534183,0.9930466,0.98609316,2019-2024,SP-008702
2023-02-23,1,0.9749441,0.025055865,-0.9498882,2019-2024,SP-008870
2023-05-11,1,0.9182808,0.081719205,-0.83656156,2019-2024,SP-008870
2023-08-10,1,0.40226614,0.59773386,0.19546771,2019-2024,SP-008870
2023-11-09,1,0.6152904,0.3847096,-0.2305808,2019-2024,SP-008870
2023-03-09,1,0.9240476,0.07595239,-0.8480952,2019-2024,SP-009215
2023-04-26,1,0.6541057,0.34589428,-0.30821145,2019-2024,SP-009215
2023-07-26,1,0.3285159,0.6714841,0.34296823,2019-2024,SP-009215
2023-11-09,1,0.41335362,0.5866464,0.17329276,2019-2024,SP-009215
2024-02-01,0,0.14051664,0.85948336,0.7189667,2019-2024,SP-009215
2023-03-08,0,0.8930955,0.10690453,-0.786191,2019-2024,SP-009647
2023-05-11,0,0.88284445,0.117155574,-0.7656889,2019-2024,SP-009647
2023-08-10,0,0.8340472,0.16595277,-0.6680944,2019-2024,SP-009647
2023-11-13,0,0.72764283,0.27235717,-0.45528567,2019-2024,SP-009647
2023-03-13,1,0.15306723,0.84693277,0.69386554,2019-2024,SP-009728
2023-05-08,1,0.6345397,0.36546028,-0.26907945,2019-2024,SP-009728
2023-08-09,1,0.89778453,0.10221547,-0.79556906,2019-2024,SP-009728
2023-11-08,1,0.8606738,0.13932624,-0.7213476,2019-2024,SP-009728
2023-02-21,0,0.76334554,0.23665448,-0.5266911,2019-2024,SP-010385
2023-04-25,0,0.7382213,0.26177874,-0.47644255,2019-2024,SP-010385
2023-04-26,0,0.66957295,0.33042705,-0.3391459,2019-2024,SP-010385
2023-07-27,0,0.64452666,0.35547334,-0.28905332,2019-2024,SP-010385
2023-10-23,0,0.38488424,0.61511576,0.23023152,2019-2024,SP-010385
2023-02-14,1,0.59770614,0.40229386,-0.19541228,2019-2024,SP-010671
2023-04-28,1,0.7531944,0.24680562,-0.5063888,2019-2024,SP-010671
2023-07-27,1,0.92049843,0.07950159,-0.84099686,2019-2024,SP-010671
2023-11-08,1,0.9059103,0.0940897,-0.8118206,2019-2024,SP-010671
