Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0217900070071818,0.0258065900893034,0.0285743870331957,0.0289976230479514,0.0278039527282334,0
0.0114532012959548,0.0101343377238473,0.0075839337983674,0.0140674895943858,0.009852228871176,0
0.0116887298327267,0.003409091542863,0.0128659429994869,0.0060657851834512,0.0025222299462182,0
0.0119570487163576,0.0073349767426645,0.0066842859110543,0.0073970997222134,0.0028394880131762,0
0.0096902395805687,0.0027513842230996,0.0086353615745387,0.0058780023178168,0.0054539231577405,0
0.0060982071897613,0.0104216373240003,0.0034044259231336,0.0045440348069689,0.0033927464739951,0
-0.0038326596001506,0.0067228112533959,0.0030090538374109,0.0058971803296881,0.0134428758491628,1
0.0038112914066722,0.0057118254849775,0.0028339192420756,0.0067102038857922,0.0059228746261424,0
0.0062057773207064,0.0036968577498856,0.0053813162353235,0.0034452417299987,0.0050349019996581,0
0.0056719225463133,0.003516444701617,0.0041826864856793,0.0060494648342197,0.0039520122311099,0
0.011115442468822,0.0029377726816465,0.0018816839442727,0.0023388441518231,0.0046509264901278,0
-0.0008430033146646,0.0095511163747854,0.0080580146034457,0.0039087641656577,0.0018748823631366,1
-0.003812162389857,-0.0012216464034529,0.0068558598114663,0.0037325372400279,0.0099525338275079,2
0.0022834378328642,0.0066369923561598,0.002994407416359,0.0018401801054945,0.0008916887641689,0
0.0023155559741715,-0.0003144877055947,0.0064693785255787,0.0029287525180301,0.0027960753901562,1
0.0008775212746229,0.0030318102235292,0.0028741408414241,0.0037057422158243,0.0029149055044781,0
0.0035800587322594,0.0059132486287536,0.0014968765600458,0.0010994332556001,0.0009512498488982,1
0.0054428821711707,0.0007754336964638,0.0023287741382424,0.0030249120615148,0.0009098855864516,0
0.0010001013003158,0.004593652568686,0.0039756018136874,0.0012187435644585,0.0016683300960359,1
0.0054110956576141,0.0006931938740275,0.001313631037425,0.0006348054960431,0.0033123065399837,1
0.0029785609765978,0.0024319275177685,0.0003189334132691,0.0029870555800642,0.0023510830801113,0
0.0012661971734269,0.0024686675802929,0.0037317184096742,0.001088015866462,0.0022404387670405,1
-0.0019985705485245,0.0006299370519234,0.0070127616768084,0.003144212752945,0.001631637876288,1
0.001184965786002,0.0014892066328873,0.00425893783772,0.0024375164692512,0.0009443843510446,0
0.0004475717221664,0.0009939065474905,0.0057031997516524,0.0019387617161576,0.001201147841027,0
0.0023725240295244,0.0021870354236277,0.0016019932345583,0.0018237182615953,0.0021545677539028,0
0.0009539177600521,0.0027003831517365,0.0001467783183317,0.0007828384202684,0.0051478585087942,1
-0.0007619553706098,0.0025824386668342,0.0027753767895704,0.0015118707978456,0.0030499334916975,1
0.0042733795101427,0.0005256482496071,0.0002110691776344,0.0006740294127621,0.003368585507727,1
0.0008745478824302,0.0014804510112851,0.00522587913239,0.0007260856118539,0.0006910385765097,1
0.0025744606880305,0.0018422857551802,0.0015584373858181,0.0014403473259951,0.0011605120084256,0
0.0036667204291657,0.0014134666871497,0.0014919735644564,0.0008016553983521,0.0011370137688965,1
0.0007454423926765,0.0015028636442511,0.0021114568049908,0.0030905697087078,0.0010383847052333,0
0.0043294388359775,0.000974571237388,0.0009809514702947,0.0002426899695452,0.001947043585733,1
