name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.8907437081796005,100.24,0.1818
2_Xgboost,Xgboost,auc,0.8862860428629484,92.35,0.1022
3_Xgboost,Xgboost,auc,0.8919421970579655,99.45,0.1025
4_Xgboost,Xgboost,auc,0.8662238933674822,81.15,0.1057
5_Xgboost,Xgboost,auc,0.8361260438590511,67.68,0.0949
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8946349104045677,330.53,0.1743
1_Default_Xgboost_GoldenFeatures,Xgboost,auc,0.8951563167300028,130.92,0.1787
2_Xgboost_GoldenFeatures,Xgboost,auc,0.8920935821648648,116.76,0.1678
1_Default_Xgboost_GoldenFeatures_RandomFeature,Xgboost,auc,0.8927931755143593,104.46,0.1853
1_Default_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.9064437928975764,50.0,0.0822
6_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.9032766996864879,60.73,0.0899
7_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.9056589047329724,37.12,0.0882
8_Xgboost_GoldenFeatures,Xgboost,auc,0.8920170454565439,138.17,0.1791
9_Xgboost_GoldenFeatures,Xgboost,auc,0.8920883061969198,97.09,0.1553
10_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.9037253328274032,40.79,0.0785
11_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.908166924028383,43.31,0.0819
Ensemble,Ensemble,auc,0.9100612779055618,1.4,0.6097
