name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.8495894606531527,50.36,0.1456
2_Xgboost,Xgboost,auc,0.8468981669770461,55.24,0.1814
3_Xgboost,Xgboost,auc,0.8497638261589285,50.74,0.1734
4_Xgboost,Xgboost,auc,0.8274749199078136,38.58,0.1723
5_Xgboost,Xgboost,auc,0.787346326462173,30.58,0.1822
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8516211978508893,166.63,0.2663
1_Default_Xgboost_GoldenFeatures,Xgboost,auc,0.853332744682521,406.88,0.2554
2_Xgboost_GoldenFeatures,Xgboost,auc,0.8443250494109926,53.59,0.2648
3_Xgboost_GoldenFeatures_RandomFeature,Xgboost,auc,0.8529296080655863,59.43,0.2949
3_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8669747272584569,23.2,0.0807
6_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8681034205963568,28.81,0.0756
7_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.866016831845652,18.36,0.0757
8_Xgboost_GoldenFeatures,Xgboost,auc,0.8514985622649855,72.95,0.1681
9_Xgboost_GoldenFeatures,Xgboost,auc,0.8530344057480861,54.91,0.1611
10_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8643456432704725,755.26,0.0751
11_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8679562578932721,81.56,0.0722
Ensemble,Ensemble,auc,0.873261250365677,0.88,0.6722
