name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.866435148149891,387.53,0.1597
2_Xgboost,Xgboost,auc,0.8641974146750393,90.83,0.1763
3_Xgboost,Xgboost,auc,0.8693143154919071,128.86,0.1851
4_Xgboost,Xgboost,auc,0.8453682876797083,80.88,0.1798
5_Xgboost,Xgboost,auc,0.8170344576377234,90.0,0.0963
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8711602591250607,1339.37,0.1558
2_Xgboost_GoldenFeatures,Xgboost,auc,0.8640730806567709,123.87,0.1586
4_Xgboost_GoldenFeatures,Xgboost,auc,0.8524871509314594,115.89,0.1535
3_Xgboost_RandomFeature,Xgboost,auc,0.8689326341069789,597.92,0.0939
6_Xgboost_GoldenFeatures,Xgboost,auc,0.8697501642624226,166.08,0.1573
7_Xgboost_GoldenFeatures,Xgboost,auc,0.8677360368226681,114.81,0.1542
8_Xgboost_GoldenFeatures,Xgboost,auc,0.8697438900478758,312.71,0.3243
Ensemble,Ensemble,auc,0.8757458036833123,2.32,1.0377
