name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.8724067362651232,48.61,0.1489
2_Xgboost,Xgboost,auc,0.8721182452534212,46.31,0.1558
3_Xgboost,Xgboost,auc,0.8778159427345343,49.81,0.1772
4_Xgboost,Xgboost,auc,0.851289194208543,33.9,0.1735
5_Xgboost,Xgboost,auc,0.815387389336651,28.78,0.0929
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8801252231297669,2423.17,0.1537
3_Xgboost_RandomFeature,Xgboost,auc,0.8759554010926598,233.38,0.0998
3_Xgboost_SelectedFeatures,Xgboost,auc,0.8910518201979769,13.07,0.0285
6_Xgboost_SelectedFeatures,Xgboost,auc,0.8922075873136078,13.38,0.0282
7_Xgboost_SelectedFeatures,Xgboost,auc,0.8923351544328448,15.21,0.0296
8_Xgboost_GoldenFeatures,Xgboost,auc,0.8793242098050882,62.71,0.1584
9_Xgboost_GoldenFeatures,Xgboost,auc,0.8793661311552261,60.15,0.1601
10_Xgboost_SelectedFeatures,Xgboost,auc,0.8924532554407603,14.23,0.0277
Ensemble,Ensemble,auc,0.8959345305710319,0.99,0.4484
